"time","vout"
0,0
1e-7,0.4173213303053427
2e-7,0.8290848772227637
3e-7,1.2349823066469217
4e-7,1.634711673452897
5e-7,2.0279762295891346
6e-7,2.414484105854235
7e-7,2.7939486071157416
8e-7,3.166088920595162
9e-7,3.5306298415449695
1e-6,3.8873024126099596
1.1e-6,4.2358440904135755
1.2e-6,4.575998435976304
1.3e-6,4.907516376556117
1.4e-6,5.230155563865168
1.5e-6,5.543681270566992
1.6e-6,5.8478658709249185
1.7e-6,6.142489856004878
1.8e-6,6.427341329652403
1.9e-6,6.702216659814495
2e-6,6.9669206626596365
2.1e-6,7.221266300035114
2.2e-6,7.465075750913006
2.3e-6,7.698179399613307
2.4e-6,7.920417155777445
2.5e-6,8.131637745590323
2.6e-6,8.331699267190416
2.7e-6,8.520469515266235
2.8e-6,8.697825874195683
2.9e-6,8.863655555751087
3e-6,9.017855195441873
3.1e-6,9.160331328254502
3.2e-6,9.29100105919877
3.3e-6,9.409791065796378
3.4e-6,9.516637623488636
3.5e-6,9.611488084563916
3.6e-6,9.694299694110969
3.7e-6,9.765039553365273
3.8e-6,9.823685662679447
3.9e-6,9.870226273745587
4e-6,9.9046598012579
4.1e-6,9.926995486596747
4.2e-6,9.937253054995956
4.3e-6,9.935461923123762
4.4e-6,9.921662641334168
4.5e-6,9.89590626086638
4.6e-6,9.858253222261451
4.7e-6,9.808774452339188
4.8e-6,9.747551674381212
4.9e-6,9.674676072018064
5e-6,9.590248492296134
5.1e-6,9.494380458194168
5.2e-6,9.387193038771274
5.3e-6,9.268816865567793
5.4e-6,9.139392573099009
5.5e-6,8.999070301784746
5.6e-6,8.848009298084897
5.7e-6,8.686378658849238
5.8e-6,8.514356681471435
5.9e-6,8.332129467316095
6e-6,8.139893174583001
6.1e-6,7.937852477859463
6.2e-6,7.726219482606076
6.3e-6,7.5052149936964225
6.4e-6,7.27506818907044
6.5e-6,7.036015636186789
6.6e-6,6.788301431901905
6.7e-6,6.53217741023407
6.8e-6,6.267902527873908
6.9e-6,5.995742796623175
7e-6,5.715971089565298
7.1e-6,5.428866843123889
7.2e-6,5.134715299637954
7.3e-6,4.833808487067494
7.4e-6,4.526444094099196
7.5e-6,4.212924196355933
7.6e-6,3.8935573061656408
7.7e-6,3.5686565813395417
7.8e-6,3.2385392365556362
7.9e-6,2.903527408121857
8e-6,2.56394720519443
8.1e-6,2.2201284134226484
8.2e-6,1.8724044151800798
8.3e-6,1.5211118531243064
8.4e-6,1.1665901867842456
8.5e-6,0.809181552459977
8.6e-6,0.44923051839926853
8.7e-6,0.08708350694800279
8.8e-6,-0.27691139812848453
8.9e-6,-0.6424044897198203
9e-6,-1.0090451334242605
9.1e-6,-1.3764820667419249
9.2e-6,-1.744363334085393
9.3e-6,-2.1123369424576923
9.4e-6,-2.4800511716161138
9.5e-6,-2.8471546757610517
9.6e-6,-3.2132969534005054
9.7e-6,-3.57812861843266
9.8e-6,-3.9413017189285533
9.9e-6,-4.3024700421792
1e-5,-4.6612893465277745
1.01e-5,-5.0174178186650344
1.02e-5,-5.370516286268081
1.03e-5,-5.7202485513238095
1.04e-5,-6.066281580379408
1.05e-5,-6.4082858762354356
1.06e-5,-6.745935959447411
1.07e-5,-7.078910468290526
1.08e-5,-7.4068925278912445
1.09e-5,-7.729569244803571
1.1e-5,-8.046633659163913
1.11e-5,-8.357783841714296
1.12e-5,-8.662723488975837
1.13e-5,-8.96116170594254
1.14e-5,-9.252813399458637
1.15e-5,-9.537400820669546
1.16e-5,-9.814652529155676
1.17e-5,-10.084304070780286
1.18e-5,-10.346095496428724
