"time","vout"
0,0
0.01,0.007457922851517647
0.02,0.029440874572963308
0.03,0.06536057576977951
0.04,0.11464346846963058
0.05,0.17672828863867826
0.06,0.251064556659918
0.07,0.33711248929292553
0.08,0.43434287967718127
0.09,0.5422367947542986
0.1,0.6602850130039456
0.11,0.7879877892250806
0.12,0.9248546245396714
0.13,1.0704039596782842
0.14,1.224162811987537
0.15,1.3856666399529118
0.16,1.5544590112694863
0.17,1.730091588433235
0.18,1.9121237728057099
0.19,2.1001226385190215
0.2,2.293662308429079
0.21,2.4923241805847334
0.22,2.6956972307245994
0.23,2.9033770604478017
0.24,3.1149663625241417
0.25,3.3300747233142185
0.26,3.5483183375114495
0.27,3.769320050019352
0.28,3.9927092185346265
0.29,4.218121752119083
0.3,4.4451998151092695
0.31,4.673591863974376
0.32,4.902953250916511
0.33,5.132945018821318
0.34,5.363234570255369
0.35,5.593495709509368
0.36,5.823408207076139
0.37,6.052657939422317
0.38,6.280937724310358
0.39,6.507946297760745
0.4,6.733388386167857
0.41,6.95697497782866
0.42,7.178423226714151
0.43,7.397456509601269
0.44,7.613804780200801
0.45,7.827204668216601
0.46,8.03739852049478
0.47,8.244135115356038
0.48,8.447169186186912
0.49,8.646262199800102
0.5,8.841181969938921
0.51,9.031703712051526
0.52,9.217608157229805
0.53,9.398682890137115
0.54,9.574721070717988
0.55,9.74552325427126
0.56,9.910896183576336
0.57,10.070654644669194
0.58,10.224618964045211
0.59,10.372616617268463
0.6,10.514480620827305
0.61,10.650051346952452
0.62,10.779175923973446
0.63,10.901709165189867
0.64,11.017512691673856
0.65,11.126454611772253
0.66,11.228409432156104
0.67,11.323258080236533
0.68,11.41088928648274
0.69,11.491198457680726
0.7,11.564088264834263
0.71,11.62946783507632
0.72,11.687253399951922
0.73,11.737368014523605
0.74,11.77974188179627
0.75,11.814312140655003
0.76,11.841022931139161
0.77,11.859825420955582
0.78,11.870677795939606
0.79,11.873544403556616
0.8,11.868397260948987
0.81,11.8552150453589
0.82,11.83398319563507
0.83,11.80469381259834
0.84,11.767346051476283
0.85,11.721945753790235
0.86,11.668505271141967
0.87,11.607043786177455
0.88,11.537587189368189
0.89,11.460167904959972
0.9,11.374824450239403
0.91,11.28160240048573
0.92,11.180553618048034
0.93,11.071736083757438
0.94,10.95521400030826
0.95,10.831058177576615
0.96,10.699345495493512
0.97,10.560158219635802
0.98,10.41358529378105
0.99,10.259721461853117
1,10.098667147068731
1.01,9.930528100792834
1.02,9.755416297387821
1.03,9.573449084981803
1.04,9.384748860104146
1.05,9.189443474944934
1.06,8.987666229893396
1.07,8.779555430875542
1.08,8.565253825221626
1.09,8.34490966564429
1.1,8.118675786734903
1.11,7.886709469486041
1.12,7.649172286998647
1.13,7.406230614093713
1.14,7.158054943052776
1.15,6.904819446011402
1.16,6.646702585304818
1.17,6.383886690390642
1.18,6.116557672725707
1.19,5.84490457857901
1.2,5.5691203562165645
1.21,5.289401047298395
1.22,5.005945573662182
1.23,4.718955769426789
1.24,4.428636478234795
1.25,4.135195096125916
1.26,3.838841088030079
1.27,3.5397866324962535
1.28,3.2382459460514514
1.29,2.93443514944738
1.3,2.628572005400647
1.31,2.320876189690163
1.32,2.011568782295737
1.33,1.7008720100473698
1.34,1.3890093254416114
1.35,1.076205227260545
1.36,0.7626849810885036
1.37,0.44867432610871766
1.38,0.13439966274175846
1.39,-0.17991236644964173
1.4,-0.4940350309535327
1.41,-0.8077416733628515
1.42,-1.1208057737540698
1.43,-1.4330012199181787
1.44,-1.7441024767978017
1.45,-2.053884706651836
1.46,-2.3621239623060792
1.47,-2.668597347901508
1.48,-2.9730831584828867
