"time","vout"
0,0
0.01,0.018229155587657465
0.02,0.07188149499633871
0.03,0.15933163566994307
0.04,0.27886119526831393
0.05,0.4286644362483246
0.06,0.6068544478053589
0.07,0.8114690897540962
0.08,1.0404775722907005
0.09,1.2917876404692346
0.1,1.5632528964653103
0.11,1.8526804367033853
0.12,2.1578387524515876
0.13,2.4764659076524054
0.14,2.8062779132717406
0.15,3.1449772392550805
0.16,3.490261448374577
0.17,3.839831944949491
0.18,4.191402587792544
0.19,4.542708306998291
0.2,4.891513960560093
0.21,5.2356231885854605
0.22,5.572886542499404
0.23,5.901209673566229
0.24,6.218562332020429
0.25,6.522984653006518
0.26,6.812597163496804
0.27,7.085604676138277
0.28,7.340307624568019
0.29,7.575103362054015
0.3,7.788498491721136
0.31,7.9791076370194345
0.32,8.145666625331895
0.33,8.287029117263932
0.34,8.402178867649303
0.35,8.490224790704707
0.36,8.550412750142241
0.37,8.582122817361418
0.38,8.584874285108842
0.39,8.55832497449302
0.4,8.502273680659023
0.41,8.416660801534146
0.42,8.301565319100765
0.43,8.15720900026341
0.44,7.9839486340894394
0.45,7.782280917794261
0.46,7.5528330531963634
0.47,7.29636612177103
0.48,7.013765513491509
0.49,6.7060417280111615
0.5,6.374321649581703
0.51,6.019845946378464
0.52,5.64396222506756
0.53,5.248118220910768
0.54,4.8338575839732565
0.55,4.402809016689314
0.56,3.956683697555779
0.57,3.4972625149612107
0.58,3.0263928812739236
0.59,2.5459766910483967
0.6,2.0579639074468794
0.61,1.5643421197659604
0.62,1.0671288755634398
0.63,0.5683627943422958
0.64,0.07009455599840277
0.65,-0.4256225372727462
0.66,-0.9167417991259851
0.67,-1.4012322711012726
0.68,-1.8770876711918942
0.69,-2.3423354118472615
0.7,-2.795044957017409
0.71,-3.23333686043589
0.72,-3.6553907892581328
0.73,-4.059453374251702
0.74,-4.4438465779732965
0.75,-4.8069747977835044
0.76,-5.1473316084107665
0.77,-5.463507291679568
0.78,-5.75419449938153
0.79,-6.018193721333346
0.8,-6.254419631615025
0.81,-6.461905185489658
0.82,-6.639805566009064
0.83,-6.787403136434329
0.84,-6.904109849761867
0.85,-6.9894694414019565
0.86,-7.043160850112822
0.87,-7.064998813980078
0.88,-7.054934195483117
0.89,-7.013055771249762
0.9,-6.939589006609287
0.91,-6.834894454200472
0.92,-6.699467896597699
0.93,-6.533937351507015
0.94,-6.339059545147551
0.95,-6.1157184715417285
0.96,-5.864920728480477
0.97,-5.587790146499929
0.98,-5.285564899289398
0.99,-4.959591335313083
1,-4.611316907513308
1.01,-4.242286043738639
1.02,-3.854132686895386
1.03,-3.4485717266354503
1.04,-3.0273939082914105
1.05,-2.592457384281819
1.06,-2.145678362877018
1.07,-1.6890239769591975
1.08,-1.2245029120460014
1.09,-0.7541584182212315
1.1,-0.2800579600606288
1.11,0.19571560576879315
1.12,0.6710730265064611
1.13,1.1439272460939096
1.14,1.6122025698408748
1.15,2.0738445146386786
1.16,2.5268275605961676
1.17,2.9691643530606266
1.18,3.39891517489876
1.19,3.814195107500198
1.2,4.213182658087144
1.21,4.5941285367646305
1.22,4.95536205415169
1.23,5.295298803707464
1.24,5.612447046451489
1.25,5.905415220509066
1.26,6.172917804609959
1.27,6.413779580762371
1.28,6.626942859426135
1.29,6.811470594580483
1.3,6.966550279959999
1.31,7.0914986735294185
1.32,7.185763546429797
1.33,7.248926846507823
1.34,7.280706075000761
1.35,7.280955506384644
1.36,7.249667750088989
1.37,7.18697216888119
1.38,7.0931352215005035
1.39,6.968560221935402
1.4,6.813783199300933
1.41,6.6294726210736465
1.42,6.416426166001371
1.43,6.175565717144548
1.44,5.907935504788525
1.45,5.614696322289521
1.46,5.297119920615517
1.47,4.9565852746435
1.48,4.5945709530142675
1.49,4.212648911818513
1.5,3.812478714390325
1.51,3.3957989178500756
1.52,2.964420411707042
1.53,2.5202181451082266
1.54,2.0651229098141224
1.55,1.601113449093286
1.56,1.1302070003251454
1.57,0.6544511095586564
1.58,0.17591482919657567
1.59,-0.30332104470949206
1.6,-0.7811722475592227
1.61,-1.255560431239048
1.62,-1.7244224500117282
1.63,-2.185718948500189
1.64,-2.6374434384608083
1.65,-3.0776310490073233
1.66,-3.504367179114041
1.67,-3.9157955276829655
1.68,-4.310126335440957
1.69,-4.685644639495199
1.7,-5.040716763501582
1.71,-5.373798286239176
1.72,-5.683440682537377
1.73,-5.968296812782569
1.74,-6.227128052961499
1.75,-6.458808847659486
1.76,-6.6623313039747964
1.77,-6.836811009497047
1.78,-6.981489304805746
1.79,-7.095737169496428
1.8,-7.179058747939942
1.81,-7.231091951121052
1.82,-7.2516114871289385
1.83,-7.240529152978327
1.84,-7.197893766068248
1.85,-7.1238924576990525
1.86,-7.0188482167833905
1.87,-6.883218923424054
1.88,-6.717596699983824
1.89,-6.522703093956636
1.9,-6.2993875526278105
1.91,-6.048623596510254
1.92,-5.771503384720628
1.93,-5.469234664662023
1.94,-5.143134340467625
1.95,-4.794622613226703
1.96,-4.42521815758623
1.97,-4.036529929520827
1.98,-3.630250777979807
1.99,-3.2081507617766745
2,-2.772068111269255
2.01,-2.32390233528128
2.02,-1.8656054793605517
2.03,-1.3991734307232095
2.04,-0.9266378966798935
2.05,-0.45005683057032886
2.06,0.028494198058386173
2.07,0.5069308220513871
2.08,0.9831694622088734
2.09,1.4551359656087348
2.1,1.920774838581105
2.11,2.378058162096133
2.12,2.824994404077858
2.13,3.2596371435123075
2.14,3.6800933438895247
2.15,4.084532028365978
2.16,4.471191792232383
2.17,4.838388480040424
2.18,5.184523246154991
2.19,5.508088386167909
