"time","vout"
0,0
0.01,0.014640541383482893
0.02,0.05775296269597353
0.03,0.12809798410610876
0.04,0.22440457538099956
0.05,0.34537004420757317
0.06,0.48966363549277864
0.07,0.6559274445914886
0.08,0.8427782780770072
0.09,1.0488117506626777
0.1,1.2726048856858854
0.11,1.5127175118027016
0.12,1.7676951676164667
0.13,2.0360720921512487
0.14,2.3163744989144277
0.15,2.607123599749043
0.16,2.9068378740217593
0.17,3.2140376542160856
0.18,3.5272456903814415
0.19,3.844994030654618
0.2,4.165822370409974
0.21,4.488287343189809
0.22,4.810959948777223
0.23,5.132431440364723
0.24,5.451315653256327
0.25,5.766253056422295
0.26,6.075914343791611
0.27,6.379001298083471
0.28,6.674252930929025
0.29,6.960443156136865
0.3,7.236390725982236
0.31,7.5009530235426825
0.32,7.753039754956361
0.33,7.991605571112067
0.34,8.21565628901691
0.35,8.424250768102898
0.36,8.616503856527945
0.37,8.791590033162255
0.38,8.948741015234436
0.39,9.087253186090644
0.4,9.206480167500716
0.41,9.305846209221679
0.42,9.384835448862246
0.43,9.443000093092381
0.44,9.479958434960942
0.45,9.495398514823952
0.46,9.48907768558779
0.47,9.46082081019119
0.48,9.410524856038766
0.49,9.338150157730816
0.5,9.243734092428943
0.51,9.127374959958107
0.52,8.98924207199453
0.53,8.829570143339371
0.54,8.648663250422223
0.55,8.44688968252662
0.56,8.22468264054839
0.57,7.9825386665825695
0.58,7.721010124158161
0.59,7.440714960890009
0.6,7.142325767741824
0.61,6.826572188651096
0.62,6.494234600122916
0.63,6.146144530632776
0.64,5.7831823711444725
0.65,5.40627238913413
0.66,5.0163834251322195
0.67,4.614524678891786
0.68,4.201741306618659
0.69,3.779113136898915
0.7,3.3477505312163176
0.71,2.9087910028711437
0.72,2.463396435868337
0.73,2.0127497888717345
0.74,1.5580512827610538
0.75,1.1005149698672565
0.76,0.641365577107045
0.77,0.18183460404172624
0.78,-0.27684301847782433
0.79,-0.7334326838011607
0.8,-1.1867035013975318
0.81,-1.6354320066585408
0.82,-2.0784053441337265
0.83,-2.5144249556287566
0.84,-2.942310167263658
0.85,-3.360901599461388
0.86,-3.7690639662961605
0.87,-4.165689970697512
0.88,-4.549702853241886
0.89,-4.920059869454684
0.9,-5.2757553940250626
0.91,-5.615823801279163
0.92,-5.939341940242236
0.93,-6.245431293007494
0.94,-6.533262021265738
0.95,-6.802053943878974
0.96,-7.051079887722443
0.97,-7.279665487000501
0.98,-7.48719448913239
0.99,-7.673107791582368
1,-7.836907428260834
1.01,-7.978154724202317
1.02,-8.096475698409213
1.03,-8.191557040900172
1.04,-8.263152264262713
